platform_name,product_name,brand,model,rating,review_time,content,like_count,review_id_raw
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-01 09:15:00,"音质不错，低音给力，连接稳定，佩戴舒服。",12,jd_csv_001
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-01 21:40:00,"降噪效果好，通透模式也不错，做工有质感，整体满意。",7,jd_csv_002
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-02 08:05:00,"通话清晰，麦克风拾音稳定，风噪控制还不错。",6,jd_csv_003
JD,XX蓝牙耳机,品牌A,Model-X,4,2025-12-02 19:20:00,"续航挺好，电量够用，充电也方便，性价比不错。",4,jd_csv_004
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-03 10:10:00,"蓝牙配对很快，延迟不明显，连接稳定，用着满意。",9,jd_csv_005
JD,XX蓝牙耳机,品牌A,Model-X,4,2025-12-03 22:00:00,"外观颜值不错，戴着稳固不夹耳，价格也算划算。",5,jd_csv_006
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-04 09:30:00,"音质好，高音不刺耳，解析不错。",8,jd_csv_007
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-04 20:50:00,"佩戴舒服，长时间也不疼，降噪给力。",11,jd_csv_008
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-05 10:00:00,"音质很好，降噪效果明显，连接也稳定。",10,jd_csv_009
JD,XX蓝牙耳机,品牌A,Model-X,5,2025-12-05 15:30:00,"性价比值得，做工优秀，通话清晰。",13,jd_csv_010
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-06 09:05:00,"通话不清晰，麦克风有电流声，风噪也大，失望。",3,jd_csv_011
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-06 14:30:00,"外观一般，连接老断连，延迟明显，差评。",2,jd_csv_012
JD,XX蓝牙耳机,品牌A,Model-X,1,2025-12-07 11:15:00,"续航掉电快，电量不够用，充电充不进，太失望。",1,jd_csv_013
JD,XX蓝牙耳机,品牌A,Model-X,1,2025-12-07 20:10:00,"配对反复失败，连接不稳定还断连，真的垃圾。",4,jd_csv_014
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-08 09:45:00,"音质刺耳，低音混，漏音严重，听着很难受。",2,jd_csv_015
JD,XX蓝牙耳机,品牌A,Model-X,1,2025-12-08 18:00:00,"佩戴不舒服，夹耳还疼，戴久了更疼。",2,jd_csv_016
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-09 10:20:00,"降噪不给力，风噪很大，效果差，失望。",1,jd_csv_017
JD,XX蓝牙耳机,品牌A,Model-X,1,2025-12-09 22:30:00,"蓝牙延迟高，游戏不同步，连接老断连，差。",0,jd_csv_018
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-10 09:10:00,"麦克风噪声大，通话不清晰，对方听着刺耳。",3,jd_csv_019
JD,XX蓝牙耳机,品牌A,Model-X,2,2025-12-10 19:50:00,"外观还行但质量差，做工粗糙，性价比不值得。",2,jd_csv_020
